pesel	kod_szczepionki	data_szczepienia	numer_dawki
30100383077	sz12_3d	2023-05-31	3
35062658872	sz16_1d	2023-06-01	1
89111645458	sz11_1d	2023-06-01	1
86071983666	sz20_5d	2023-06-01	2
88061907454	sz3_5d	2023-06-02	1
94020761023	sz7_5d	2023-06-02	2
24041654512	sz15_5d	2023-06-02	4
42060124829	sz17_4d	2023-06-02	4
47112137062	sz16_1d	2023-06-03	1
40090714865	sz6_3d	2023-06-03	2
32041378561	sz15_5d	2023-06-03	3
39061346714	sz3_5d	2023-06-03	4
68021322864	sz15_5d	2023-06-04	1
48102226313	sz16_1d	2023-06-04	1
24020285551	sz21_5d	2023-06-04	2
45070184010	sz8_2d	2023-06-04	2
66081042830	sz24_3d	2023-06-04	3
60022762270	sz9_5d	2023-06-05	1
29011182806	sz15_5d	2023-06-06	3
20310582733	sz17_4d	2023-06-07	2
32090814225	sz24_3d	2023-06-07	2
03292731409	sz21_5d	2023-06-07	2
90111200152	sz10_4d	2023-06-07	3
20301751407	sz23_1d	2023-06-08	1
46052303005	sz17_4d	2023-06-08	1
92051723830	sz11_1d	2023-06-08	1
38032421818	sz22_3d	2023-06-08	2
47110205145	sz24_3d	2023-06-09	1
12291036743	sz24_3d	2023-06-09	2
91061824344	sz19_2d	2023-06-09	2
60110562638	sz9_5d	2023-06-09	2
03211634460	sz15_5d	2023-06-09	3
39061346714	sz3_5d	2023-06-09	5
38032421818	sz22_3d	2023-06-11	3
64092231119	sz9_5d	2023-06-11	5
55032636169	sz4_2d	2023-06-12	1
16211238725	sz16_1d	2023-06-12	1
88102262386	sz5_1d	2023-06-12	1
61090474126	sz19_2d	2023-06-12	1
46082713344	sz6_3d	2023-06-12	2
31032705573	sz6_3d	2023-06-14	3
37012011221	sz17_4d	2023-06-14	3
91072117376	sz6_3d	2023-06-14	3
03292731409	sz21_5d	2023-06-14	3
57041472565	sz21_5d	2023-06-14	4
79061182660	sz20_5d	2023-06-15	1
00272601127	sz10_4d	2023-06-15	1
89070960003	sz6_3d	2023-06-15	3
64092106767	sz19_2d	2023-06-16	1
07252700380	sz15_5d	2023-06-16	2
90111200152	sz10_4d	2023-06-16	4
40102760035	sz15_5d	2023-06-16	4
29011182806	sz15_5d	2023-06-16	4
01270587044	sz11_1d	2023-06-17	1
33072075221	sz10_4d	2023-06-17	1
73090301661	sz7_5d	2023-06-17	2
23011274367	sz17_4d	2023-06-17	2
61090474126	sz19_2d	2023-06-17	2
17272041019	sz17_4d	2023-06-17	3
71012483189	sz10_4d	2023-06-17	4
47092443487	sz7_5d	2023-06-18	2
59022461487	sz4_2d	2023-06-18	2
13261582682	sz21_5d	2023-06-18	5
77011207331	sz16_1d	2023-06-19	1
60110562638	sz9_5d	2023-06-19	3
98071675148	sz23_1d	2023-06-20	1
65070207410	sz7_5d	2023-06-20	1
39092181337	sz15_5d	2023-06-20	2
46082713344	sz6_3d	2023-06-20	3
68021322864	sz15_5d	2023-06-21	2
67102738819	sz8_2d	2023-06-22	1
90080436378	sz22_3d	2023-06-22	3
99112685847	sz4_2d	2023-06-23	1
47110205145	sz24_3d	2023-06-23	2
79061182660	sz20_5d	2023-06-23	2
47052212083	sz6_3d	2023-06-23	2
61090462435	sz19_2d	2023-06-23	2
24020285551	sz21_5d	2023-06-23	3
93092726277	sz1_3d	2023-06-24	1
76012076872	sz4_2d	2023-06-24	1
47052212083	sz6_3d	2023-06-24	3
39092181337	sz15_5d	2023-06-24	3
96050148524	sz21_5d	2023-06-24	3
22061550465	sz7_5d	2023-06-24	5
89090766809	sz11_1d	2023-06-25	1
47010170660	sz12_3d	2023-06-25	1
28082535122	sz2_1d	2023-06-25	1
88061907454	sz3_5d	2023-06-25	2
24041654512	sz15_5d	2023-06-25	5
97020108854	sz1_3d	2023-06-26	1
86021746620	sz7_5d	2023-06-26	5
57041472565	sz21_5d	2023-06-26	5
67040143276	sz15_5d	2023-06-28	1
33012302109	sz10_4d	2023-06-28	1
40030586066	sz1_3d	2023-06-29	2
93070838835	sz10_4d	2023-06-29	3
64102016279	sz22_3d	2023-06-29	3
38061283627	sz24_3d	2023-06-30	3
46080951036	sz7_5d	2023-06-30	4
07251056574	sz11_1d	2023-07-01	1
44082173568	sz19_2d	2023-07-01	2
67040143276	sz15_5d	2023-07-01	2
87072658834	sz19_2d	2023-07-02	1
32111562429	sz19_2d	2023-07-02	2
17262450063	sz3_5d	2023-07-02	3
27012687184	sz20_5d	2023-07-02	4
83011248359	sz4_2d	2023-07-03	1
78010500289	sz11_1d	2023-07-03	1
32041378561	sz15_5d	2023-07-03	4
73040324511	sz21_5d	2023-07-04	1
67071814583	sz9_5d	2023-07-04	1
51081306310	sz2_1d	2023-07-04	1
40072501021	sz11_1d	2023-07-04	1
79040302003	sz13_5d	2023-07-04	1
52070958316	sz3_5d	2023-07-04	3
38071037586	sz23_1d	2023-07-05	1
12301050327	sz9_5d	2023-07-05	1
67111253787	sz20_5d	2023-07-05	1
03211634460	sz15_5d	2023-07-05	4
39092181337	sz15_5d	2023-07-05	4
40090714865	sz6_3d	2023-07-06	3
90012244604	sz13_5d	2023-07-07	3
94020761023	sz7_5d	2023-07-07	3
24020285551	sz21_5d	2023-07-07	4
41102363884	sz8_2d	2023-07-08	1
67102738819	sz8_2d	2023-07-08	2
69011455173	sz3_5d	2023-07-08	3
67100220624	sz15_5d	2023-07-09	1
25041572080	sz20_5d	2023-07-09	1
47092443487	sz7_5d	2023-07-09	3
90012244604	sz13_5d	2023-07-09	4
46080951036	sz7_5d	2023-07-09	5
63070963525	sz9_5d	2023-07-10	1
32041378561	sz15_5d	2023-07-10	5
66102305577	sz23_1d	2023-07-11	1
46052303005	sz17_4d	2023-07-11	2
91010178746	sz13_5d	2023-07-12	1
34101170524	sz19_2d	2023-07-12	2
41081931126	sz15_5d	2023-07-13	1
67101617809	sz2_1d	2023-07-13	1
87110827875	sz21_5d	2023-07-13	1
89082154717	sz2_1d	2023-07-13	1
93092726277	sz1_3d	2023-07-13	2
32090814225	sz24_3d	2023-07-13	3
93070838835	sz10_4d	2023-07-13	4
39092181337	sz15_5d	2023-07-13	5
01310248889	sz12_3d	2023-07-14	1
47101603569	sz15_5d	2023-07-14	1
10250928120	sz21_5d	2023-07-14	1
37091815008	sz16_1d	2023-07-15	1
24091143068	sz14_1d	2023-07-15	1
46101864640	sz20_5d	2023-07-16	1
61101502338	sz8_2d	2023-07-16	1
68061652646	sz10_4d	2023-07-16	1
60022762270	sz9_5d	2023-07-16	2
40030586066	sz1_3d	2023-07-16	3
46092608074	sz8_2d	2023-07-17	1
86071983666	sz20_5d	2023-07-17	3
17272041019	sz17_4d	2023-07-17	4
48021507159	sz1_3d	2023-07-18	1
27012687184	sz20_5d	2023-07-18	5
07280357846	sz6_3d	2023-07-19	1
57071178273	sz20_5d	2023-07-19	1
46101864640	sz20_5d	2023-07-19	2
17300268144	sz4_2d	2023-07-20	1
73040324511	sz21_5d	2023-07-20	2
24020285551	sz21_5d	2023-07-20	5
73090301661	sz7_5d	2023-07-21	3
46101864640	sz20_5d	2023-07-21	3
34021330747	sz17_4d	2023-07-22	1
45110523634	sz20_5d	2023-07-22	1
03300388713	sz24_3d	2023-07-22	2
67040143276	sz15_5d	2023-07-22	3
92051263219	sz20_5d	2023-07-23	1
03251170177	sz20_5d	2023-07-23	1
67041771861	sz15_5d	2023-07-23	1
73030754647	sz24_3d	2023-07-24	1
14221931304	sz24_3d	2023-07-24	1
92062104352	sz13_5d	2023-07-24	1
41081931126	sz15_5d	2023-07-24	2
60110562638	sz9_5d	2023-07-24	4
40102760035	sz15_5d	2023-07-24	5
23060881006	sz5_1d	2023-07-25	1
93071921824	sz12_3d	2023-07-25	1
69052173704	sz13_5d	2023-07-25	1
86071983666	sz20_5d	2023-07-25	4
34042172106	sz22_3d	2023-07-26	1
37102648252	sz10_4d	2023-07-26	1
28030148370	sz20_5d	2023-07-26	3
47092443487	sz7_5d	2023-07-26	4
73040760838	sz13_5d	2023-07-27	1
03300388713	sz24_3d	2023-07-27	3
80052557880	sz13_5d	2023-07-28	1
12280316670	sz5_1d	2023-07-28	1
71041625631	sz6_3d	2023-07-29	1
07252700380	sz15_5d	2023-07-29	3
69011455173	sz3_5d	2023-07-29	4
37012011221	sz17_4d	2023-07-29	4
32031640632	sz8_2d	2023-07-30	1
87072658834	sz19_2d	2023-07-30	2
03280884764	sz11_1d	2023-07-31	1
77071586317	sz3_5d	2023-07-31	1
00272601127	sz10_4d	2023-07-31	2
33012302109	sz10_4d	2023-07-31	2
79061182660	sz20_5d	2023-07-31	3
89022263819	sz15_5d	2023-08-01	1
79021131523	sz4_2d	2023-08-03	1
38092468110	sz21_5d	2023-08-03	1
93101208341	sz1_3d	2023-08-03	1
99112685847	sz4_2d	2023-08-03	2
64030720239	sz3_5d	2023-08-04	1
29111281768	sz1_3d	2023-08-04	1
38061503525	sz22_3d	2023-08-04	1
36101364769	sz21_5d	2023-08-04	1
88061907454	sz3_5d	2023-08-04	3
90091180581	sz6_3d	2023-08-05	1
62010603134	sz16_1d	2023-08-05	1
17300268144	sz4_2d	2023-08-05	2
97020108854	sz1_3d	2023-08-05	2
46101864640	sz20_5d	2023-08-05	4
84070581328	sz10_4d	2023-08-06	1
38092468110	sz21_5d	2023-08-06	2
46101864640	sz20_5d	2023-08-06	5
42052544714	sz6_3d	2023-08-07	1
71070854361	sz21_5d	2023-08-07	1
47010170660	sz12_3d	2023-08-08	2
65070207410	sz7_5d	2023-08-08	2
46052303005	sz17_4d	2023-08-08	3
67071814583	sz9_5d	2023-08-09	2
34021330747	sz17_4d	2023-08-09	2
67041771861	sz15_5d	2023-08-10	2
71070854361	sz21_5d	2023-08-10	2
95102088788	sz17_4d	2023-08-11	1
